,ticker,pct_weight,tag,article_details,initial_trade_date,week_open,week_close,pct_change,contribution
1,CQQQ,0.03,foreign_tech,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,84.04,88.51,0.0531889576392194,0.001595668729176582
2,ASML,0.02,foreign_tech,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,499.99,508.74,0.01750035000700014,0.0003500070001400028
3,SNE,0.01,foreign_tech,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,101.5,103.99,0.024532019704433448,0.0002453201970443345
4,YNDX,0.02,foreign_tech,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,70.84,70.9,0.0008469791078487051,1.69395821569741e-05
5,SPOT,0.01,foreign_tech,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,317.42,353.11,0.11243777959800894,0.0011243777959800893
6,AZN,0.01,foreign_tech,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,50.92,50.86,-0.0011783189316575465,-1.1783189316575465e-05
7,EFV,-0.05,foreign_tech,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,48.05,49.47,0.02955254942767954,-0.001477627471383977
8,EMB,-0.10,foreign_tech,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,116.02,114.54,-0.012756421306671175,0.0012756421306671175
9,IAGG,0.05,foreign_tech,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,56.14,56.04,-0.0017812611328821058,-8.90630566441053e-05
10,NEE,0.02,green_old_deal,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,77.21,81.13,0.050770625566636474,0.0010154125113327295
11,CCJ,0.02,green_old_deal,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,13.46,14.31,0.06315007429420502,0.0012630014858841005
12,LIN,0.01,green_old_deal,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,266.71,270.4,0.01383525177158711,0.0001383525177158711
13,ORA,0.01,green_old_deal,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,91.72,115.43,0.2585041430440472,0.0025850414304404716
14,BLDP,0.01,green_old_deal,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,23.705,28.84,0.2166209660409197,0.002166209660409197
15,NRG,0.01,green_old_deal,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,37.73,39.01,0.033925258415054366,0.00033925258415054365
16,BHP,0.01,green_old_deal,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,68.0,73.46,0.08029411764705874,0.0008029411764705874
17,VALE,0.01,green_old_deal,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,17.5,18.92,0.08114285714285724,0.0008114285714285724
18,LIT,0.01,green_old_deal,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,66.14,70.87,0.07151496824916849,0.0007151496824916849
19,ECH,0.01,green_old_deal,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,30.77,32.485,0.055736106597335064,0.0005573610659733506
