,ticker,pct_weight,tag,article_details,initial_trade_date
1,ESGD,0.05,decline_and_fall,https://goodalexander.com/2021/01/11/week2-letsgo/,2020-01-11
2,ESGE,0.04,decline_and_fall,https://goodalexander.com/2021/01/11/week2-letsgo/,2020-01-11
3,IXC,0.05,decline_and_fall,https://goodalexander.com/2021/01/11/week2-letsgo/,2020-01-11
4,CQQQ,0.03,decline_and_fall,https://goodalexander.com/2021/01/11/week2-letsgo/,2020-01-11
5,ASML,0.02,decline_and_fall,https://goodalexander.com/2021/01/11/week2-letsgo/,2020-01-11
6,SNE,0.01,decline_and_fall,https://goodalexander.com/2021/01/11/week2-letsgo/,2020-01-11
7,SPOT,0.01,decline_and_fall,https://goodalexander.com/2021/01/11/week2-letsgo/,2020-01-11
8,AZN,0.01,decline_and_fall,https://goodalexander.com/2021/01/11/week2-letsgo/,2020-01-11
9,USMV,-0.10,decline_and_fall,https://goodalexander.com/2021/01/11/week2-letsgo/,2020-01-11
10,XHB,-0.07,decline_and_fall,https://goodalexander.com/2021/01/11/week2-letsgo/,2020-01-11
11,XLE,-0.05,decline_and_fall,https://goodalexander.com/2021/01/11/week2-letsgo/,2020-01-11
12,EMB,-0.10,decline_and_fall,https://goodalexander.com/2021/01/11/week2-letsgo/,2020-01-11
13,IAGG,0.05,decline_and_fall,https://goodalexander.com/2021/01/11/week2-letsgo/,2020-01-11
14,NEE,0.03,green_old_deal,https://goodalexander.com/2021/01/11/week2-letsgo/,2020-01-11
15,CCJ,0.03,green_old_deal,https://goodalexander.com/2021/01/11/week2-letsgo/,2020-01-11
16,LIN,0.01,green_old_deal,https://goodalexander.com/2021/01/11/week2-letsgo/,2020-01-11
17,NRG,0.01,green_old_deal,https://goodalexander.com/2021/01/11/week2-letsgo/,2020-01-11
18,BHP,0.01,green_old_deal,https://goodalexander.com/2021/01/11/week2-letsgo/,2020-01-11
19,VALE,0.01,green_old_deal,https://goodalexander.com/2021/01/11/week2-letsgo/,2020-01-11
20,NILSY,0.03,green_old_deal,https://goodalexander.com/2021/01/11/week2-letsgo/,2020-01-11
