year,mortgage_rate_pct,median_new_house_price_usd,median_personal_income_usd,median_household_income_usd,annual_interest_only_burden_usd,housing_interest_burden_pct_median_personal_income,mortgage_principal_20pct_down_usd,annual_mortgage_principal_interest_20pct_down_usd,mortgage_payment_burden_pct_median_household_income,house_price_to_median_household_income,income_status
1976,8.865849056603773,44225.0,6002.0,12690.0,3920.921745283019,65.32692011467876,35380.0,3375.205112671657,26.597361013961045,3.485027580772261,Census annual actual
1977,8.845192307692308,48900.0,6429.0,13570.0,4325.299038461539,67.27794429089343,39120.0,3725.048361922592,27.45061431040967,3.6035372144436257,Census annual actual
1978,9.641730769230769,55850.0,6813.0,15060.0,5384.906634615385,79.03870005306598,44680.0,4563.8711171615405,30.30458909137809,3.708499335989376,Census annual actual
1979,11.203653846153848,62750.0,7254.0,16460.0,7030.292788461538,96.91608475960211,50200.0,5829.686896372927,35.417295846737105,3.8122721749696233,Census annual actual
1980,13.742115384615383,64750.0,7944.0,17710.0,8898.019711538462,112.00931157525756,51800.0,7238.471707970006,40.87222872936198,3.656126482213439,Census annual actual
1981,16.641509433962263,68950.0,8532.0,19070.0,11474.32075471698,134.48570973648594,55160.0,9244.406872362024,48.47617657242802,3.615626638699528,Census annual actual
1982,16.043653846153845,69225.0,9143.0,20170.0,11106.219375,121.47237640818112,55380.0,8960.113993773393,44.42297468405252,3.432077342588002,Census annual actual
1983,13.235384615384616,75375.0,9720.0,20890.0,9976.171153846151,102.63550569800567,60300.0,8137.803791142835,38.95549923955402,3.608185734801341,Census annual actual
1984,13.877692307692309,79950.0,10420.0,22420.0,11095.215,106.479990403071,63960.0,9019.877800306213,40.231390723934936,3.5660124888492417,Census annual actual
1985,12.430192307692309,84275.0,11010.0,23620.0,10475.544567307692,95.1457272235031,67420.0,8590.741742014787,36.370625495405534,3.567950889077053,Census annual actual
1986,10.187307692307693,92025.0,11550.0,24900.0,9374.869903846156,81.1677047952048,73620.0,7875.375285329195,31.628013194093157,3.6957831325301207,Census annual actual
1987,10.213396226415094,104700.0,12100.0,26060.0,10693.425849056604,88.37542024013723,83760.0,8979.555099264619,34.457233688659315,4.017651573292402,Census annual actual
1988,10.341730769230768,112225.0,12940.0,27230.0,11606.00735576923,89.69093783438355,89780.0,9727.781405125996,35.72450020244581,4.121373485126698,Census annual actual
1989,10.319423076923076,120425.0,13860.0,28910.0,12427.165240384616,89.66208687146187,96340.0,10419.358834814158,36.040673935711375,4.165513663092356,Census annual actual
1990,10.129423076923077,122300.0,14380.0,29940.0,12388.284423076924,86.14940488926929,97840.0,10415.856435344876,34.78909965045048,4.084836339345357,Census annual actual
1991,9.246538461538462,119975.0,14690.0,30130.0,11093.534519230769,75.51759373199978,95980.0,9472.357491263983,31.43829237060732,3.981911715897776,Census annual actual
1992,8.390188679245282,121375.0,14900.0,30640.0,10183.591509433962,68.34625174116753,97100.0,8868.857406804735,28.945357071817018,3.961325065274152,Census annual actual
1993,7.314615384615385,126500.0,15430.0,31240.0,9252.988461538462,59.96752081359988,101200.0,8337.638642496971,26.688984130912203,4.049295774647887,Census annual actual
1994,8.38076923076923,130425.0,15940.0,32260.0,10930.618269230768,68.57351486343016,104340.0,9521.811942266804,29.515846070262874,4.042932424054556,Census annual actual
1995,7.934615384615385,133475.0,16780.0,34080.0,10590.727884615384,63.11518405611075,106780.0,9343.825991480291,27.41732978720743,3.916519953051643,Census annual actual
1996,7.806153846153847,140250.0,17590.0,35490.0,10948.13076923077,62.240652468622905,112200.0,9698.07285289784,27.32621260326244,3.951817413355875,Census annual actual
1997,7.598846153846154,145000.0,18760.0,37010.0,11018.326923076922,58.73308594390684,116000.0,9827.456488104544,26.55351658498931,3.917860037827614,Census annual actual
1998,6.942641509433962,151925.0,19950.0,38890.0,10547.608113207543,52.87021610630348,121540.0,9647.185770358308,24.806340371196477,3.9065312419645153,Census annual actual
1999,7.439999999999999,160125.0,20580.0,40700.0,11913.3,57.88775510204081,128100.0,10685.240154352528,26.253661312905475,3.934275184275184,Census annual actual
2000,8.053461538461539,167550.0,21520.0,41990.0,13493.574807692308,62.70248516585645,134040.0,11862.45793116749,28.250673806066896,3.990235770421529,Census annual actual
2001,6.967884615384615,173100.0,21930.0,42230.0,12061.408269230767,54.999581711038616,138480.0,11019.91218834943,26.094985054107102,4.098981766516694,Census annual actual
2002,6.537307692307692,186025.0,22120.0,42410.0,12161.026634615384,54.97751643135346,148820.0,11331.575537638257,26.71911232642833,4.386347559537845,Census annual actual
2003,5.826981132075471,192125.0,22670.0,43320.0,11195.0875,49.38282973092193,153700.0,10853.783897624333,25.05490281076716,4.435018467220683,Census annual actual
2004,5.839230769230769,218150.0,23210.0,44330.0,12738.281923076922,54.88273124979286,174520.0,12340.385859223386,27.83754987417863,4.921046695240244,Census annual actual
2005,5.866730769230769,236550.0,24330.0,46330.0,13877.751634615384,57.03966968604761,189240.0,13421.113562661158,28.968516215543183,5.1057630045327,Census annual actual
2006,6.413269230769231,243750.0,25800.0,48200.0,15632.34375,60.59047965116279,195000.0,14657.174760054337,30.409076265672898,5.0570539419087135,Census annual actual
2007,6.337307692307693,244950.0,26630.0,50230.0,15523.235192307697,58.29228386146337,195960.0,14612.503655885572,29.09118784767185,4.876567788174397,Census annual actual
