year,life_expectancy_years,five_year_change_years
1976,72.8560975609756,
1977,73.2560975609756,
1978,73.3560975609756,
1979,73.8048780487805,
1980,73.609756097561,
1981,74.009756097561,1.1536585365853966
1982,74.3609756097561,1.104878048780492
1983,74.4634146341463,1.1073170731707052
1984,74.5634146341464,0.7585365853659027
1985,74.5634146341464,0.9536585365853938
1986,74.6146341463415,0.6048780487805061
1987,74.7658536585366,0.4048780487805032
1988,74.7658536585366,0.3024390243902957
1989,75.0170731707317,0.4536585365853085
1990,75.2146341463415,0.6512195121950981
1991,75.3658536585366,0.7512195121950924
1992,75.6170731707317,0.851219512195101
1993,75.419512195122,0.6536585365853966
1994,75.619512195122,0.6024390243902928
1995,75.6219512195122,0.4073170731707023
1996,76.0268292682927,0.6609756097561075
1997,76.4292682926829,0.8121951219512056
1998,76.5804878048781,1.1609756097561077
1999,76.5829268292683,0.9634146341463036
2000,76.6365853658537,1.014634146341507
2001,76.8365853658537,0.8097560975609923
2002,76.9365853658537,0.5073170731707961
2003,77.0365853658537,0.4560975609755928
2004,77.4878048780488,0.9048780487805032
2005,77.4878048780488,0.851219512195101
2006,77.6878048780488,0.851219512195101
2007,77.9878048780488,1.0512195121951038
2008,78.0390243902439,1.002439024390199
2009,78.390243902439,0.9024390243901904
2010,78.5414634146342,1.053658536585388
2011,78.6414634146341,0.9536585365853084
2012,78.7414634146342,0.753658536585391
2013,78.7414634146342,0.7024390243903014
2014,78.8414634146341,0.4512195121951095
2015,78.690243902439,0.1487804878047995
2016,78.5390243902439,-0.1024390243902075
2017,78.5390243902439,-0.2024390243903013
2018,78.6390243902439,-0.1024390243902928
2019,78.7878048780488,-0.0536585365853028
2020,76.9804878048781,-1.7097560975608983
2021,76.3292682926829,-2.209756097560998
2022,77.4341463414634,-1.104878048780492
2023,78.3853658536585,-0.2536585365854051
2024,78.890243902439,0.1024390243901933
