survey_period,adult_obesity_pct,year,prior_decade_cycle_average_pct,pct_vs_prior_decade_cycle_average
1960–1962,13.4,1960,40.333333333333336,-66.77685950413223
1971–1974,14.5,1971,40.333333333333336,-64.0495867768595
1976–1980,15.0,1976,40.333333333333336,-62.8099173553719
1988–1994,23.2,1988,40.333333333333336,-42.47933884297521
1999–2000,30.9,1999,40.333333333333336,-23.38842975206612
2001–2002,31.2,2001,40.333333333333336,-22.64462809917356
2003–2004,32.9,2003,40.333333333333336,-18.42975206611571
2005–2006,35.1,2005,40.333333333333336,-12.975206611570243
2007–2008,34.3,2007,40.333333333333336,-14.958677685950429
2009–2010,36.1,2009,40.333333333333336,-10.495867768595046
2011–2012,35.3,2011,40.333333333333336,-12.47933884297522
2013–2014,38.2,2013,40.333333333333336,-5.289256198347103
2015–2016,40.0,2015,40.333333333333336,-0.8264462809917439
2017–2018,42.8,2017,40.333333333333336,6.115702479338836
August 2021–August 2023,40.8,2021,40.333333333333336,1.157024793388417
