year,suicide_rate_per_100k,suicide_deaths,prior_10_year_average_rate,pct_vs_prior_10_year_average
2001,10.7,30622,,
2002,11.0,31655,,
2003,10.8,31484,,
2004,11.0,32439,,
2005,10.9,32637,,
2006,11.0,33300,,
2007,11.3,34598,,
2008,11.6,36035,,
2009,11.8,36909,,
2010,12.1,38364,,
2011,12.3,39518,11.22,9.625668449197857
2012,12.5,40600,11.38,9.841827768014078
2013,12.6,41149,11.53,9.280138768430191
2014,13.0,42826,11.71,11.01622544833476
2015,13.3,44193,11.91,11.670864819479432
2016,13.4,44965,12.15,10.288065843621409
2017,14.0,47173,12.39,12.99435028248588
2018,14.2,48344,12.66,12.164296998420207
2019,13.9,47511,12.920000000000002,7.585139318885448
2020,13.4,45979,13.13,2.056359482102077
2021,14.0,48183,13.26,5.580693815987936
2022,14.2,49476,13.43,5.7334326135517255
2023,14.0,49316,13.6,2.941176470588247
2024,13.7,48824,13.74,-0.2911208151382904
