year,nominal_current_spending_per_pupil,cpi,naep_grade8_reading_score,naep_grade8_mathematics_score,real_2024_current_spending_per_pupil,real_spending_index_2003,reading_index_2003,math_index_2003,naep_composite_index_2003,real_spending_change_since_2003_pct,naep_composite_change_since_2003_pct
2003,8019.0,184.0,261.33261507,276.11527558,13671.44347011,100.0,100.0,100.0,100.0,0.0,0.0
2005,8701.05507141,195.26666667,260.4045097,277.5196845,13978.34597457,102.24484346,99.64485666,100.50863137,100.07674402,2.24484346,0.07674402
2007,9666.37752737,207.34416667,261.01395065,280.16946143,14624.59714876,106.97185839,99.87806175,101.46829466,100.67317821,6.97185839,0.67317821
2009,10498.66458569,214.56466667,262.29361774,281.67478106,15349.27387694,112.27251834,100.36773162,102.01347262,101.19060212,12.27251834,1.19060212
2011,10608.27782349,224.923,263.59252633,282.72713101,14795.27351458,108.2202735,100.86476434,102.39459965,101.629682,8.2202735,1.629682
2013,10723.50497965,232.95175,266.01913609,283.61503645,14440.51762803,105.62540568,101.79331654,102.71617021,102.25474338,5.62540568,2.25474338
2015,11391.7874053,237.00175,263.99397394,281.27958884,15078.29720286,110.29045496,101.01837992,101.87034681,101.44436337,10.29045496,1.44436337
2017,12201.14650876,245.121,265.3293601,281.9575549,15614.6445675,114.21357665,101.52937092,102.11588414,101.82262753,14.21357665,1.82262753
2019,13187.34673347,255.65258333,261.99832705,280.98659856,16181.51649222,118.35997075,100.25473743,101.76423523,101.00948633,18.35997075,1.00948633
2022,15629.73125156,292.62641667,259.10772519,273.13222861,16755.21333637,122.55628583,99.14863674,98.91963711,99.03413692,22.55628583,-0.96586308
2024,17619.38902754,313.69816667,256.66278962,272.23264701,17619.38902754,128.87731326,98.21307209,98.59383782,98.40345495,28.87731326,-1.59654505
