date,aggregate_rolling_4q_fcf_usd,companies_in_public_universe,companies_with_four_quarter_fcf,companies_filing_or_restating,companies_with_marketcap,aggregate_market_cap_usd,aggregate_fcf_yield_pct,us_30y_yield_pct,fcf_yield_minus_30y_pct_points
2004-01-01,423669212029.0,4419,4180,0,,,,,
2004-01-02,424130319820.0,4420,4181,2,4386.0,10361766199999.98,4.093224182379263,,
2004-01-03,424128180820.0,4419,4180,0,4386.0,10361766199999.98,4.093203539180423,,
2004-01-04,424128180820.0,4419,4180,0,4386.0,10361766199999.98,4.093203539180423,,
2004-01-05,423790577820.0,4419,4180,5,4384.0,10498427400000.002,4.036705324265993,5.1772,-1.1404946757340069
2004-01-06,423803852820.0,4418,4179,10,4384.0,10522446900000.012,4.0276169302408125,5.1772,-1.1495830697591876
2004-01-07,423787676747.0,4418,4179,8,4383.0,10553136300000.02,4.015751002353672,5.1772,-1.1614489976463285
2004-01-08,423791228830.0,4418,4179,7,4383.0,10609115400000.002,3.9945953347816334,5.1772,-1.1826046652183655
2004-01-09,423969000274.0,4419,4179,21,4385.0,10526201200000.004,4.027749348682408,5.1772,-1.1494506513175915
2004-01-10,423969000274.0,4419,4179,0,4385.0,10526201200000.004,4.027749348682408,5.1772,-1.1494506513175915
2004-01-11,423969000274.0,4419,4179,0,4385.0,10526201200000.004,4.027749348682408,5.1772,-1.1494506513175915
2004-01-12,423952863723.0,4419,4179,18,4384.0,10592270199999.994,4.002474027928407,5.1772,-1.1747259720715937
2004-01-13,424109080522.0,4419,4177,47,4383.0,10538772800000.016,4.024273874867094,5.1772,-1.1529261251329057
2004-01-14,424268619254.0,4419,4177,74,4384.0,10621541000000.014,3.994416810649222,5.1772,-1.182783189350778
2004-01-15,424669960563.0,4420,4177,6,4384.0,10621206200000.006,3.9983214012265367,5.1772,-1.1788785987734631
2004-01-16,424688257055.0,4420,4177,9,4384.0,10705908899999.998,3.9668584986278,5.1772,-1.2103415013722
2004-01-17,424690463056.0,4419,4176,0,4384.0,10705908899999.998,3.966879104080552,5.1772,-1.2103208959194478
2004-01-18,424690463056.0,4419,4176,0,4384.0,10705908899999.998,3.966879104080552,5.1772,-1.2103208959194478
2004-01-19,424690463056.0,4419,4176,0,4384.0,10705908899999.998,3.966879104080552,5.1772,-1.2103208959194478
2004-01-20,425580760736.0,4420,4176,16,4385.0,10725560800000.008,3.967911502921131,5.1772,-1.209288497078869
2004-01-21,425553180523.0,4420,4176,13,4384.0,10771562600000.002,3.950709811805763,5.1772,-1.2264901881942372
2004-01-22,425520174939.0,4418,4174,10,4383.0,10726919500000.01,3.966844115302624,5.1772,-1.2103558846973763
2004-01-23,425615896581.0,4420,4175,12,4385.0,10720880800000.0,3.969971353295897,5.1772,-1.207228646704103
2004-01-24,425608735581.0,4419,4174,0,4385.0,10720880800000.0,3.9699045584109096,5.1772,-1.2072954415890904
2004-01-25,425608735581.0,4419,4174,0,4385.0,10720880800000.0,3.9699045584109096,5.1772,-1.2072954415890904
2004-01-26,425613428499.0,4419,4174,8,4383.0,10842532999999.955,3.9254058853129776,5.1772,-1.2517941146870224
2004-01-27,425580894262.0,4420,4174,13,4385.0,10739746700000.012,3.962671617404157,5.1772,-1.2145283825958435
2004-01-28,424358114494.0,4417,4171,18,4381.0,10581047800000.02,4.0105490733535785,5.1772,-1.1666509266464216
2004-01-29,424091631560.0,4415,4168,35,4379.0,10597698699999.99,4.001733240066548,5.1772,-1.1754667599334525
2004-01-30,424217001004.0,4414,4167,36,4379.0,10570653800000.008,4.013157644080631,5.1772,-1.1640423559193689
2004-01-31,424190758930.0,4412,4165,0,4379.0,10570653800000.008,4.012909390051159,5.1772,-1.164290609948841
2004-02-01,424190758930.0,4412,4165,0,4379.0,10570653800000.008,4.012909390051159,5.1772,-1.164290609948841
2004-02-02,424228531355.0,4412,4165,18,4377.0,10597329399999.994,4.003164527045844,5.1772,-1.1740354729541558
2004-02-03,424411584355.0,4414,4165,21,4379.0,10593594900000.018,4.006303699181467,5.1772,-1.170896300818533
