calendar_year,utility_capex_nominal_usd,companies_with_capex,superseded_versions_removed_x,generation_twh,annual_average_cpi,period_type_x,period_label_x,capex_as_of_date,generation_as_of_date,utility_capex_2025_usd,nominal_capex_per_mwh,real_2025_capex_per_mwh,price_basis,generation_index_2004,real_capex_index_2004,real_capex_per_mwh_index_2004,aggregate_fcf_usd,matched_revenue_usd,aggregate_fcf_margin,companies_with_fcf_and_revenue,company_rows,superseded_versions_removed_y,period_type_y,output_per_hour_index,annual_growth,five_year_annualized_growth,period_label_y,period_type
2004,44554466985.0,122,4.0,3970.555264,188.90833333,completed_calendar_year,2004,2004-12-31,2004-12-31,77960784859.5135,11.2212182,19.63473108,latest CPI (2026),100.0,100.0,100.0,497487748191.9092,8392494775322.212,0.0592777,4279,4288,264.0,completed_calendar_year,82.74925,0.02979911,,2004,completed_annual_average
2005,49133581329.0,122,7.0,4055.42275,195.26666667,completed_calendar_year,2005,2005-12-31,2005-12-31,83173767652.69637,12.11552638,20.50927185,latest CPI (2026),102.1374211,106.68667305,104.45405015,506905032987.3976,9207547272692.809,0.05505321,4239,4244,190.0,completed_calendar_year,84.558,0.0218582,,2005,completed_annual_average
2006,64889819045.0,121,3.0,4064.702228,201.55833333,completed_calendar_year,2006,2006-12-31,2006-12-31,106417210619.63312,15.96422454,26.18081342,latest CPI (2026),102.37112841,136.50094828,133.3393022,488707468842.2549,9718208570856.902,0.05028781,4113,4119,167.0,completed_calendar_year,85.40075,0.00996653,,2006,completed_annual_average
2007,71208949175.0,113,4.0,4156.744724,207.34416667,completed_calendar_year,2007,2007-12-31,2007-12-31,113521683235.22618,17.13094113,27.31023692,latest CPI (2026),104.68925497,145.61382808,139.09147421,557054639427.1428,10218999387604.238,0.05451166,4000,4007,180.0,completed_calendar_year,86.758,0.01589272,,2007,completed_annual_average
2008,84665839449.0,109,3.0,4119.38776,215.25425,completed_calendar_year,2008,2008-12-31,2008-12-31,130014727583.7794,20.55301525,31.56166284,latest CPI (2026),103.7484051,166.76939287,160.74405453,535575967591.2922,10949877648163.416,0.04891159,3790,3795,111.0,completed_calendar_year,87.89225,0.01307372,0.01809383,2008,completed_annual_average
2009,79198517048.0,102,2.0,3950.330927,214.56466667,completed_calendar_year,2009,2009-12-31,2009-12-31,122009854735.87854,20.04857783,30.88598322,latest CPI (2026),99.4906421,156.50157314,157.30280742,703749323255.1111,9555330267635.906,0.07364992,3652,3658,142.0,completed_calendar_year,91.47,0.04070609,0.02024135,2009,completed_annual_average
2010,77804754164.0,101,0.0,4125.0599,218.07616667,completed_calendar_year,2010,2010-12-31,2010-12-31,117932633559.75046,18.86148469,28.5893142,latest CPI (2026),103.89126018,151.27173716,145.60583527,726426554000.7351,10611431673200.64,0.06845698,3554,3563,122.0,completed_calendar_year,94.356,0.03155133,0.02216961,2010,completed_annual_average
2011,84039219487.0,96,0.0,4100.140927,224.923,completed_calendar_year,2011,2011-12-31,2011-12-31,123504905984.47,20.49666609,30.12211243,latest CPI (2026),103.26366602,158.41926965,153.41240123,730457084273.7947,11950767897277.44,0.06112219,3482,3489,124.0,completed_calendar_year,94.3325,-0.00024906,0.02009339,2011,completed_annual_average
2012,95564006610.0,94,4.0,4047.765267,229.58608333,completed_calendar_year,2012,2012-12-31,2012-12-31,137589362079.9315,23.60907817,33.99143799,latest CPI (2026),101.94456437,176.48534751,173.11893831,687573861279.4646,12190471058218.492,0.05640257,3485,3490,131.0,completed_calendar_year,95.218,0.00938701,0.0187835,2012,completed_annual_average
2013,95682614261.00002,96,0.0,4065.964068,232.95175,completed_calendar_year,2013,2013-12-31,2013-12-31,135769782405.41943,23.53257743,33.39178117,latest CPI (2026),102.40290835,174.15137963,170.06487651,747995895183.0,12459285429783.0,0.06003522,3565,3573,138.0,completed_calendar_year,95.78875,0.00599414,0.01735561,2013,completed_annual_average
