date_from,date_to,term,missing_data,trend_index,trend_index_12w_ma,trend_index_52w_ma,trend_index_12w_ma_prior_year,trend_index_12w_ma_yoy_pct
2021-08-01,2021-08-07,AI Porn,False,2.0,,,,
2021-08-01,2021-08-07,Best Colleges,False,47.0,,,,
2021-08-01,2021-08-07,Trade School,False,8.0,,,,
2021-08-08,2021-08-14,AI Porn,False,2.0,,,,
2021-08-08,2021-08-14,Best Colleges,False,46.0,,,,
2021-08-08,2021-08-14,Trade School,False,9.0,,,,
2021-08-15,2021-08-21,AI Porn,False,2.0,,,,
2021-08-15,2021-08-21,Best Colleges,False,41.0,,,,
2021-08-15,2021-08-21,Trade School,False,12.0,,,,
2021-08-22,2021-08-28,AI Porn,False,2.0,,,,
2021-08-22,2021-08-28,Best Colleges,False,40.0,,,,
2021-08-22,2021-08-28,Trade School,False,10.0,,,,
2021-08-29,2021-09-04,AI Porn,False,1.0,,,,
2021-08-29,2021-09-04,Best Colleges,False,39.0,,,,
2021-08-29,2021-09-04,Trade School,False,10.0,,,,
2021-09-05,2021-09-11,AI Porn,False,2.0,,,,
2021-09-05,2021-09-11,Best Colleges,False,36.0,,,,
2021-09-05,2021-09-11,Trade School,False,10.0,,,,
2021-09-12,2021-09-18,AI Porn,False,2.0,,,,
2021-09-12,2021-09-18,Best Colleges,False,44.0,,,,
2021-09-12,2021-09-18,Trade School,False,11.0,,,,
2021-09-19,2021-09-25,AI Porn,False,2.0,,,,
2021-09-19,2021-09-25,Best Colleges,False,39.0,,,,
2021-09-19,2021-09-25,Trade School,False,10.0,,,,
2021-09-26,2021-10-02,AI Porn,False,2.0,,,,
2021-09-26,2021-10-02,Best Colleges,False,36.0,,,,
2021-09-26,2021-10-02,Trade School,False,9.0,,,,
2021-10-03,2021-10-09,AI Porn,False,2.0,,,,
2021-10-03,2021-10-09,Best Colleges,False,33.0,,,,
2021-10-03,2021-10-09,Trade School,False,10.0,,,,
2021-10-10,2021-10-16,AI Porn,False,2.0,,,,
2021-10-10,2021-10-16,Best Colleges,False,30.0,,,,
2021-10-10,2021-10-16,Trade School,False,10.0,,,,
2021-10-17,2021-10-23,AI Porn,False,2.0,1.9166666666666667,,,
2021-10-17,2021-10-23,Best Colleges,False,31.0,38.5,,,
2021-10-17,2021-10-23,Trade School,False,13.0,10.166666666666666,,,
2021-10-24,2021-10-30,AI Porn,False,2.0,1.9166666666666667,,,
2021-10-24,2021-10-30,Best Colleges,False,29.0,37.0,,,
2021-10-24,2021-10-30,Trade School,False,10.0,10.333333333333334,,,
2021-10-31,2021-11-06,AI Porn,False,2.0,1.9166666666666667,,,
2021-10-31,2021-11-06,Best Colleges,False,28.0,35.5,,,
2021-10-31,2021-11-06,Trade School,False,9.0,10.333333333333334,,,
2021-11-07,2021-11-13,AI Porn,False,2.0,1.9166666666666667,,,
2021-11-07,2021-11-13,Best Colleges,False,29.0,34.5,,,
2021-11-07,2021-11-13,Trade School,False,9.0,10.083333333333334,,,
2021-11-14,2021-11-20,AI Porn,False,2.0,1.9166666666666667,,,
2021-11-14,2021-11-20,Best Colleges,False,29.0,33.583333333333336,,,
2021-11-14,2021-11-20,Trade School,False,9.0,10.0,,,
2021-11-21,2021-11-27,AI Porn,False,2.0,2.0,,,
2021-11-21,2021-11-27,Best Colleges,False,26.0,32.5,,,
2021-11-21,2021-11-27,Trade School,False,7.0,9.75,,,
2021-11-28,2021-12-04,AI Porn,False,2.0,2.0,,,
2021-11-28,2021-12-04,Best Colleges,False,27.0,31.75,,,
2021-11-28,2021-12-04,Trade School,False,10.0,9.75,,,
2021-12-05,2021-12-11,AI Porn,False,2.0,2.0,,,
2021-12-05,2021-12-11,Best Colleges,False,25.0,30.166666666666668,,,
2021-12-05,2021-12-11,Trade School,False,9.0,9.583333333333334,,,
2021-12-12,2021-12-18,AI Porn,False,2.0,2.0,,,
2021-12-12,2021-12-18,Best Colleges,False,25.0,29.0,,,
2021-12-12,2021-12-18,Trade School,False,9.0,9.5,,,
2021-12-19,2021-12-25,AI Porn,False,2.0,2.0,,,
2021-12-19,2021-12-25,Best Colleges,False,24.0,28.0,,,
2021-12-19,2021-12-25,Trade School,False,7.0,9.333333333333334,,,
2021-12-26,2022-01-01,AI Porn,False,2.0,2.0,,,
2021-12-26,2022-01-01,Best Colleges,False,24.0,27.25,,,
2021-12-26,2022-01-01,Trade School,False,7.0,9.083333333333334,,,
2022-01-02,2022-01-08,AI Porn,False,2.0,2.0,,,
2022-01-02,2022-01-08,Best Colleges,False,31.0,27.33333333333333,,,
2022-01-02,2022-01-08,Trade School,False,9.0,9.0,,,
2022-01-09,2022-01-15,AI Porn,False,2.0,2.0,,,
2022-01-09,2022-01-15,Best Colleges,False,31.0,27.33333333333333,,,
2022-01-09,2022-01-15,Trade School,False,9.0,8.666666666666666,,,
2022-01-16,2022-01-22,AI Porn,False,2.0,2.0,,,
2022-01-16,2022-01-22,Best Colleges,False,29.0,27.33333333333333,,,
2022-01-16,2022-01-22,Trade School,False,9.0,8.583333333333334,,,
2022-01-23,2022-01-29,AI Porn,False,2.0,2.0,,,
2022-01-23,2022-01-29,Best Colleges,False,32.0,27.666666666666668,,,
2022-01-23,2022-01-29,Trade School,False,10.0,8.666666666666666,,,
2022-01-30,2022-02-05,AI Porn,False,2.0,2.0,,,
2022-01-30,2022-02-05,Best Colleges,False,31.0,27.83333333333333,,,
2022-01-30,2022-02-05,Trade School,False,10.0,8.75,,,
2022-02-06,2022-02-12,AI Porn,False,2.0,2.0,,,
2022-02-06,2022-02-12,Best Colleges,False,31.0,28.0,,,
2022-02-06,2022-02-12,Trade School,False,10.0,8.833333333333334,,,
2022-02-13,2022-02-19,AI Porn,False,2.0,2.0,,,
2022-02-13,2022-02-19,Best Colleges,False,31.0,28.416666666666668,,,
2022-02-13,2022-02-19,Trade School,False,9.0,9.0,,,
2022-02-20,2022-02-26,AI Porn,False,2.0,2.0,,,
2022-02-20,2022-02-26,Best Colleges,False,33.0,28.916666666666668,,,
